,node,creation_time,noticed_disappeared_time,elapsed_time
22,gke-ensemble-cluster-default-pool-8854e30c-z7sx,2024-04-15 02:32:55,2024-04-15 02:41:22.870584,507
14,gke-ensemble-cluster-default-pool-8854e30c-pmcd,2024-04-15 02:32:55,2024-04-15 02:41:22.870584,507
23,gke-ensemble-cluster-default-pool-8854e30c-zx5x,2024-04-15 02:32:56,2024-04-15 02:41:22.870584,506
3,gke-ensemble-cluster-default-pool-8854e30c-9j2c,2024-04-15 02:32:56,2024-04-15 02:41:22.870584,506
19,gke-ensemble-cluster-default-pool-8854e30c-vdcf,2024-04-15 02:32:56,2024-04-15 02:41:22.870584,506
7,gke-ensemble-cluster-default-pool-8854e30c-dr5h,2024-04-15 02:32:56,2024-04-15 02:41:22.870584,506
8,gke-ensemble-cluster-default-pool-8854e30c-fntp,2024-04-15 02:32:56,2024-04-15 02:41:22.870584,506
21,gke-ensemble-cluster-default-pool-8854e30c-z00q,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
20,gke-ensemble-cluster-default-pool-8854e30c-xbcc,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
18,gke-ensemble-cluster-default-pool-8854e30c-tlx8,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
17,gke-ensemble-cluster-default-pool-8854e30c-tl1b,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
16,gke-ensemble-cluster-default-pool-8854e30c-rtx2,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
15,gke-ensemble-cluster-default-pool-8854e30c-pmfb,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
0,gke-ensemble-cluster-default-pool-8854e30c-1v8q,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
12,gke-ensemble-cluster-default-pool-8854e30c-m8vr,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
9,gke-ensemble-cluster-default-pool-8854e30c-fqss,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
6,gke-ensemble-cluster-default-pool-8854e30c-c72d,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
4,gke-ensemble-cluster-default-pool-8854e30c-9t9s,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
2,gke-ensemble-cluster-default-pool-8854e30c-8sq8,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
1,gke-ensemble-cluster-default-pool-8854e30c-31qq,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
13,gke-ensemble-cluster-default-pool-8854e30c-mh79,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
11,gke-ensemble-cluster-default-pool-8854e30c-hll3,2024-04-15 02:32:57,2024-04-15 02:41:22.870584,505
10,gke-ensemble-cluster-default-pool-8854e30c-gjdx,2024-04-15 02:32:58,2024-04-15 02:41:22.870584,504
5,gke-ensemble-cluster-default-pool-8854e30c-c317,2024-04-15 02:32:58,2024-04-15 02:41:22.870584,504
